review_id,review,cleaned_review,keywords,theme
920,Horrible customer service and app crashes Horrible!!,horrible customer service app crash horrible,"['horrible', 'crash', 'customer', 'service', 'app']","['App Reliability', 'Other']"
921,I love it,love,['love'],['Other']
922,Best,well,[],[]
923,It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,keep ask turn developer mode dev mode couldn use,"['mode', 'dev', 'couldn', 'ask', 'turn', 'developer', 'use']",['Other']
924,Good🙏,good,['good'],['Other']
925,Like to much,like,['like'],['Other']
926,Thank you,thank,['thank'],['Other']
927,Perfect,perfect,['perfect'],['Other']
928,The best of best,good good,['good'],['Other']
929,I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,app long time amazing user friendly find pin button app,"['button', 'pin', 'long', 'friendly', 'amazing', 'user', 'time', 'app']",['Other']
930,Boa,boa,['boa'],['Other']
931,Great 👍,great,['great'],['Other']
932,Fast and suitable for the customers.,fast suitable customer,"['suitable', 'customer', 'fast']",['Other']
933,Good 👍,good,['good'],['Other']
934,Good app and helpful,good app helpful,"['helpful', 'good', 'app']",['Other']
935,"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",star face multiple problem app fast bank app like cbe app ask repeatedly switch developer option switch bank abyssinia service interesting ignore issue app service customer give complain app accept complain fix issue lastly recommend app issue solve asap,"['issue', 'complain', 'switch', 'app', 'service', 'lastly', 'ignore', 'repeatedly', 'accept', 'asap']",['Other']
936,By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,assess tell abyssinia bank idea mobile banking,"['tell', 'idea', 'abyssinia', 'mobile', 'banking', 'bank']",['Other']
937,It doesn't work at all.,doesn work,"['doesn', 'work']",['Other']
938,this app is not available,app available,"['available', 'app']",['Other']
939,Best,well,[],[]
940,Wow what amazing,wow amazing,"['wow', 'amazing']",['Other']
941,love it,love,['love'],['Other']
942,በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,,[],[]
943,Lemn embi yilal??,lemn embi yilal,['lemn'],['Other']
944,Good,good,['good'],['Other']
945,It's useless app downgraded.,useless app downgrade,"['downgrade', 'useless', 'app']",['Other']
946,Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,let access account point app gey access account physically bank zero suffice point accross,"['point', 'access', 'account', 'gey', 'physically', 'zero', 'let', 'bank', 'app']",['Other']
947,Nice,nice,['nice'],['Other']
948,When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,go rid real app work far bad mobile banking app,"['real', 'far', 'bad', 'app', 'mobile', 'banking', 'work']",['Other']
949,አይሰራም ሼም ነው፤,,[],[]
950,Not that much bad,bad,['bad'],['Other']
951,Fine,fine,['fine'],['Other']
952,The dirtiest application ever seen...,dirty application see,"['dirty', 'application']",['Other']
953,Nic ap,nic,['nic'],['Other']
954,The forest app ever,forest app,['app'],['Other']
955,"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",love boa curse come mobile banking ine hetter cks ask turn developer option wise win work use cbe awash birr tekebirr dashen bank non ask boa improve mobile banking competitive,"['ask', 'boa', 'mobile', 'ine', 'hetter', 'curse', 'competitive', 'cks', 'banking', 'wise']",['Other']
956,Bank of abissena,bank abissena,['bank'],['Other']
957,Good,good,['good'],['Other']
958,"Easy and sooo simple to use it, also its easy to stole someones money using the app",easy sooo simple use easy stole someone money app,"['easy', 'sooo', 'simple', 'money', 'use', 'app']",['Other']
959,GOOD,good,['good'],['Other']
960,The worst banking app ever. Never works!,bad banking app work,"['bad', 'banking', 'work', 'app']",['Other']
961,Poorly functioning app,poorly function app,"['poorly', 'function', 'app']",['Other']
962,Very nice,nice,['nice'],['Other']
963,Your system is the worst you should do better😡😡😡😡😡😡,system bad well,['bad'],['Other']
964,It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,guy start give mobile app service couldn work sure know doesn work sure lazy incompetent fix lose business complacency consequence,"['sure', 'lazy', 'incompetent', 'consequence', 'complacency', 'work', 'lose', 'guy', 'start', 'business']",['Other']
965,"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",good app feature awesome work need turn developer option tired have constantly switch developer option express struggle precious setting enable developer option open app boa app turn help abyssinia bank hope provide update soon,"['option', 'developer', 'turn', 'provide', 'precious', 'tired', 'struggle', 'constantly', 'enable', 'setting']",['Other']
966,"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",give app star option experience incredibly frustrating extremely long loading time app close automatically time people choose mobile banking convenience app far time consume make bad hope improvement enhance user experience,"['time', 'experience', 'consume', 'people', 'extremely', 'enhance', 'choose', 'loading', 'far', 'automatically']",['Other']
967,Nice,nice,['nice'],['Other']
968,Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,unprofessional mischievous bank opinion occasion recently abyssinia card withdraw money deduct account despite report time say process learn yesterday month bank decide include income absurd avoid bank,"['bank', 'mischievous', 'occasion', 'income', 'opinion', 'withdraw', 'report', 'despite', 'decide', 'avoid']",['Other']
969,It doesn't work on my 2 devices A05 and A34 😡,doesn work device,"['device', 'doesn', 'work']",['Other']
970,It's better to say I don't use boa rather than pulling your phone out and opening this app,well don use boa pull phone open app,"['pull', 'open', 'phone', 'don', 'boa', 'use', 'app']",['Other']
971,My attention is very important because it will be the most difficult time for me,attention important difficult time,"['important', 'attention', 'difficult', 'time']",['Other']
972,"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",bad experience mobile application year time fail login automatically close app take loading time minute try access internal service transfer bank fail boa fix app,"['fail', 'time', 'internal', 'minute', 'loading', 'automatically', 'year', 'login', 'close', 'access']","['Account Access', 'Other']"
973,I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,don know app start great sudden don work,"['don', 'start', 'know', 'great', 'work', 'app']",['Other']
974,This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,application lose major faction daily basis count time app completely useless disappointing go use time need don point,"['time', 'count', 'faction', 'completely', 'lose', 'major', 'point', 'useless', 'daily', 'disappointing']",['Other']
975,exellent digital transaction of money,exellent digital transaction money,"['exellent', 'digital', 'money', 'transaction']","['Transaction Performance', 'Other']"
976,The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,late update stop android phone open app work properly start,"['late', 'start', 'properly', 'stop', 'android', 'open', 'phone', 'update', 'work', 'app']","['Feature Requests', 'Other']"
977,Best,well,[],[]
978,Great,great,['great'],['Other']
979,👏👏👏,,[],[]
980,Money,money,['money'],['Other']
981,It needs more improvment,need improvment,"['improvment', 'need']",['Other']
982,Hey Google,hey google,"['google', 'hey']",['Other']
983,Good app,good app,"['good', 'app']",['Other']
984,ab,,[],[]
985,Ademtahir,ademtahir,['ademtahir'],['Other']
986,✌️✌️,,[],[]
987,Please this app on my android phone,app android phone,"['android', 'phone', 'app']",['Other']
988,GOAT 🐐 🐐,goat,['goat'],['Other']
989,"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",app doesn match bank app disaster super slow learn tele birr app,"['match', 'learn', 'disaster', 'birr', 'app', 'slow', 'doesn', 'super', 'bank']","['Transaction Performance', 'Other']"
990,Fast and reliable,fast reliable,"['reliable', 'fast']",['Other']
991,"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",bad app update include developer option thing care phone money right reason switch bank turn discontinue business,"['discontinue', 'care', 'reason', 'switch', 'business', 'right', 'include', 'thing', 'turn', 'phone']",['Other']
992,Very good,good,['good'],['Other']
993,One of the poorest mobile banking system,poor mobile banking system,"['poor', 'mobile', 'banking']",['Other']
994,❤❤❤❤❤❤,,[],[]
995,Oene,oene,['oene'],['Other']
996,i find it interesting specially in reciept downloading,find interesting specially reciept download,"['specially', 'interesting', 'download']",['Other']
997,it good,good,['good'],['Other']
998,"This app crashes everytime, please fix it",app crash everytime fix,"['everytime', 'crash', 'fix', 'app']","['App Reliability', 'Other']"
999,አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,star recomend use app bank,"['star', 'use', 'bank', 'app']",['Other']
1000,I need a support the app is not working,need support app work,"['support', 'need', 'work', 'app']","['Customer Support', 'Other']"
1001,Bast bank of ethiopia,bast bank ethiopia,"['ethiopia', 'bank']",['Other']
1002,Good,good,['good'],['Other']
1003,very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,slow app software app app,"['software', 'app', 'slow']","['Transaction Performance', 'Other']"
1004,"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",thank social service like vertual banking non touch atm cadrless withdrwal passbook,"['passbook', 'vertual', 'withdrwal', 'social', 'touch', 'non', 'atm', 'thank', 'service', 'like']",['Other']
1005,The worst App i have never seen like this before,bad app see like,"['bad', 'like', 'app']",['Other']
1006,Wweeeer,wweeeer,[],[]
1007,Infinx,infinx,['infinx'],['Other']
1008,Great service,great service,"['great', 'service']",['Other']
1009,👍,,[],[]
1010,This app is not available on all android versions and some times it is not functional.,app available android version time functional,"['functional', 'available', 'android', 'version', 'time', 'app']",['Other']
1011,senayt Mesfin,senayt mesfin,['mesfin'],['Other']
1012,Bad app vety bad.,bad app vety bad,"['bad', 'vety', 'app']",['Other']
1013,Nice,nice,['nice'],['Other']
1014,Abessnya Banke,abessnya banke,[],[]
1015,"The most useless app, I never expected such an irrelevant app from BOA. big shame!",useless app expect irrelevant app boa big shame,"['irrelevant', 'shame', 'useless', 'big', 'expect', 'boa', 'app']",['Other']
1016,Okay,okay,['okay'],['Other']
1017,Professional on banking app,professional bank app,"['professional', 'bank', 'app']",['Other']
1018,Has some nice interface but always freezes or slow to load .App developers please fix this issue.,nice interface freeze slow load app developer fix issue,"['freeze', 'load', 'interface', 'issue', 'slow', 'developer', 'fix', 'nice', 'app']","['Transaction Performance', 'Other']"
1019,አይሰራም አስተካክሉት,,[],[]
1020,Please try another because this app doesn't feet the need of this generation,try app doesn feet need generation,"['generation', 'try', 'doesn', 'need', 'app']",['Other']
1021,Good,good,['good'],['Other']
1022,Fast transfer,fast transfer,"['transfer', 'fast']",['Other']
